scenario,volume_elasticity,psi,sigma_idea,payline,capacity_target,triage_noise_mult,resub_intensity,mechanism,reaches,lands,lumpy,feasible,achieved_load,target_load,ref_load,min_load_share,welfare,q_sd_between,q_sd_within,mean_quality_funded,mean_quality_funded_sem,applicant_quality_premium,applicant_quality_premium_sem,volume_advantage,volume_advantage_sem,volume_gini,volume_gini_sem,n_active,n_active_sem,n_winners,n_winners_sem,hhi_institution,hhi_institution_sem,success_rate,success_rate_sem,review_load,review_load_sem,submitted,submitted_sem,intended,intended_sem,funded,funded_sem,wasted_effort,wasted_effort_sem,submitted_effort,submitted_effort_sem
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,no cap (infeasible),False,False,False,False,7629.5055555555555,7629.5055555555555,7629.5055555555555,1.0,0.14037276107185703,0.0323020084917793,0.07691370980223138,2.1635853746392035,0.009324786649047179,0.9046482716614374,0.006065351106280062,1.8388418933445452,0.01310170544052918,0.28395221987886615,0.000410458584313891,1941.5444444444445,0.7399532851454433,382.35555555555555,0.630340260490723,0.022647847725288803,6.835700943375996e-05,0.064919151728537,9.555970528361599e-05,7629.5055555555555,11.176049000798004,7629.5055555555555,11.176049000798004,7629.5055555555555,11.176049000798004,495.0,0.0,0.0,0.0,7629.5055555555555,11.176049000798004
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,individual cap,True,False,True,False,3370.8222222222216,3784.899074764022,7629.5055555555555,0.04363760284451228,0.2007241216009421,0.03501292797996722,0.03709741634104911,1.9771279717862875,0.010107361697175528,0.8629957822806514,0.006407187653773252,1.6166050036148034,0.012675458597028387,0.22757450245202704,0.00040415218775571626,1819.0444444444445,1.536937646374765,407.74444444444447,0.47117828756814056,0.02237735378476119,3.9402652436590946e-05,0.1468773225813206,0.000123191665067031,3370.8222222222216,2.825894373883369,3370.8222222222216,2.825894373883369,4883.511111111112,5.641747546282292,495.0,0.0,0.0,0.0,4875.738591996004,5.625660064972441
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,institutional cap,True,True,False,True,3799.9,3784.899074764022,7629.5055555555555,0.006553504632235524,0.20558635553034244,0.03361347140910053,0.0533638172327573,2.1434396509729434,0.009703373383220991,0.7002790916540341,0.005539623482539476,2.0900388552876237,0.019103996816835986,0.31598910379959866,0.00041746307266613984,1542.4111111111113,2.0363834274330905,377.2722222222222,0.9794679492071848,0.022730787107891486,5.9031865330272306e-05,0.1302665907924895,1.77100275860331e-06,3799.9,0.051574534994836004,3799.9,0.051574534994836004,5160.861111111111,4.4948564568739355,495.0,0.0,1360.9611111111112,4.506795903452478,3799.9,0.051574534994836004
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,institutional prop,True,True,False,True,3799.9,3784.899074764022,7629.5055555555555,0.006553504632235524,0.20558635553034244,0.03361347140910053,0.0533638172327573,2.1434396509729434,0.009703373383220991,0.7002790916540341,0.005539623482539476,2.0900388552876237,0.019103996816835986,0.31598910379959866,0.00041746307266613984,1542.4111111111113,2.0363834274330905,377.2722222222222,0.9794679492071848,0.022730787107891486,5.9031865330272306e-05,0.1302665907924895,1.77100275860331e-06,3799.9,0.051574534994836004,3799.9,0.051574534994836004,5160.861111111111,4.4948564568739355,495.0,0.0,1360.9611111111112,4.506795903452478,3799.9,0.051574534994836004
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,cooling off,True,True,True,True,3888.5888888888894,3784.899074764022,7629.5055555555555,0.12388453889905492,0.191877830548798,0.0369321077285763,0.03946682011936023,2.0239922197592572,0.010661381169416893,0.8657466448700702,0.005833789864253035,1.937509644198408,0.015561053333520454,0.3057376503450024,0.0005361362389865882,1282.0333333333335,0.7833924327587828,349.82222222222225,0.5723325381552231,0.023095375755308414,8.152429242368718e-05,0.1274976701344185,0.00012776993286075283,3888.5888888888894,3.8424602224573885,3888.5888888888894,3.8424602224573885,5228.311111111111,7.120375909066886,495.0,0.0,0.0,0.0,5221.427331731464,7.09647401026368
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,resubmission limit,True,False,True,False,3004.2333333333336,3784.899074764022,7629.5055555555555,0.3933763000514814,0.21482988348157447,0.039270538979688636,0.0389533828644506,2.014069064549217,0.011336428125572463,0.9799135622306147,0.007169183326058238,1.784853736361015,0.011556276723133418,0.27888880987640063,0.00022990904258352943,1554.788888888889,1.491724271408086,375.2388888888889,0.7306866072876826,0.02279794578784478,6.040716191089197e-05,0.1648278220878794,0.00027330489006892626,3004.2333333333336,5.0211773741048304,3004.2333333333336,5.0211773741048304,4649.166666666667,8.594699251216182,495.0,0.0,0.0,0.0,4640.7146473054345,8.576009530963415
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,two-stage EOI,True,True,False,True,3788.4899999999993,3784.899074764022,7629.5055555555555,0.0885736734068248,0.2081442976165869,0.037705927353458124,0.04076156182547954,2.123322357155675,0.010884763653781762,0.6375083692821508,0.00679913220769245,1.8930533211601868,0.0118191350891022,0.30790074753393387,0.0003829732551300397,1356.3166666666668,1.9338579051487699,375.8888888888889,0.6809744124361903,0.022791370495074195,5.0789313022110854e-05,0.17293126437880757,0.00023324015094519572,3788.4899999999993,5.106460455524795,2862.9166666666665,3.860192463930501,4627.866666666668,6.231364135556425,495.0,0.0,264.7425,0.35568356084382646,4784.853279597769,6.444356274212182
S0_null,0.013284063248718229,0.9948617860736612,0.9118380804037765,0.16488584847711146,0.49608707238019933,3.8077916261829174,1.1907124092883887,random (placebo),True,True,False,True,3797.0,3784.899074764022,7629.5055555555555,0.007870030896133504,0.17516581635081938,0.0359719673074856,0.042835435741097265,1.8228882876105832,0.010384212504128614,0.868589993096962,0.006494011741708323,1.8912159620238034,0.013792790442156581,0.2899158956398393,0.0003398940243166402,1693.872222222222,1.5130289003925559,391.04999999999995,0.725955773110033,0.02251606978879706,4.96906494196106e-05,0.1303893870358264,0.00018269688413361036,3797.0,5.338690491273689,3797.0,5.338690491273689,5158.283333333334,7.242844489307785,495.0,0.0,0.0,0.0,5151.288768352307,7.233060444518972
S0_null,0.021537377580402826,0.8049591423935657,0.2594383302217211,0.22822096441557105,0.5563003957313577,1.2854483387362545,1.0691413872118818,no cap (infeasible),False,False,False,False,6282.91111111111,6282.91111111111,6282.91111111111,1.0,0.15734317698151257,0.03790979785313023,0.03490350846285781,1.4431725473206818,0.010943615997714517,1.1068334017812818,0.006120308308208252,1.3511311850833787,0.005608401978410878,0.31321528419658834,0.0005494082465113518,1867.6166666666666,0.9674195953156395,438.56111111111113,0.709695165429424,0.022538559444947637,6.734058909089552e-05,0.10905108206927207,0.00011596023179752538,6282.91111111111,6.7456000540935355,6282.91111111111,6.7456000540935355,6282.91111111111,6.7456000540935355,685.0,0.0,0.0,0.0,6282.91111111111,6.7456000540935355
S0_null,0.021537377580402826,0.8049591423935657,0.2594383302217211,0.22822096441557105,0.5563003957313577,1.2854483387362545,1.0691413872118818,individual cap,True,True,True,True,3230.727777777778,3495.1859374560545,6282.91111111111,0.052880653341869144,0.2110915601266658,0.0401002617016779,0.02793961073701628,1.3108947360230865,0.01157594844401909,1.0795502751705983,0.006468055511945661,1.2501202125544637,0.007950011906248108,0.23465909449583588,0.0002921860128339801,1757.783333333333,1.2501616057150577,470.53888888888895,0.8839937814326945,0.022215047270617627,5.7150771756507076e-05,0.2120648465187377,0.00017134612503899994,3230.727777777778,2.598775395797067,3230.727777777778,2.598775395797067,4501.816666666667,6.465563401669625,685.0,0.0,0.0,0.0,4253.902399683769,5.5994522850479544
